timestamp,VWC,temp_soil,temp_room,temp_soil_shifted_1,temp_soil_shifted_2,temp_soil_shifted_3,temp_soil_shifted_4,temp_soil_shifted_5,temp_soil_shifted_6,temp_soil_predict
2017/11/22 13:30,0.366,21.7,19.46,21.7,21.7,21.7,21.7,21.7,21.7,21.6805
2017/11/22 13:35,0.366,21.6,19.41,21.7,21.7,21.7,21.7,21.7,21.7,21.6798
2017/11/22 13:40,0.365,21.6,19.39,21.6,21.7,21.7,21.7,21.7,21.7,21.5763
2017/11/22 13:45,0.365,21.6,19.39,21.6,21.6,21.7,21.7,21.7,21.7,21.577
2017/11/22 13:50,0.365,21.6,19.39,21.6,21.6,21.6,21.7,21.7,21.7,21.5774
2017/11/22 13:55,0.365,21.6,19.41,21.6,21.6,21.6,21.6,21.7,21.7,21.576
2017/11/22 14:00,0.365,21.6,19.44,21.6,21.6,21.6,21.6,21.6,21.7,21.5788
2017/11/22 14:05,0.365,21.6,19.46,21.6,21.6,21.6,21.6,21.6,21.6,21.5819
2017/11/22 14:10,0.365,21.6,19.48,21.6,21.6,21.6,21.6,21.6,21.6,21.5822
2017/11/22 14:15,0.365,21.6,19.48,21.6,21.6,21.6,21.6,21.6,21.6,21.5822
2017/11/22 14:20,0.365,21.6,19.51,21.6,21.6,21.6,21.6,21.6,21.6,21.5825
2017/11/22 14:25,0.365,21.6,19.53,21.6,21.6,21.6,21.6,21.6,21.6,21.5828
2017/11/22 14:30,0.365,21.6,19.58,21.6,21.6,21.6,21.6,21.6,21.6,21.5835
2017/11/22 14:35,0.365,21.6,19.58,21.6,21.6,21.6,21.6,21.6,21.6,21.5835
2017/11/22 14:40,0.365,21.6,19.58,21.6,21.6,21.6,21.6,21.6,21.6,21.5835
2017/11/22 14:45,0.365,21.5,19.58,21.6,21.6,21.6,21.6,21.6,21.6,21.5835
2017/11/22 14:50,0.365,21.5,19.58,21.5,21.6,21.6,21.6,21.6,21.6,21.4802
2017/11/22 14:55,0.365,21.5,19.58,21.5,21.5,21.6,21.6,21.6,21.6,21.4809
2017/11/22 15:00,0.365,21.5,19.55,21.5,21.5,21.5,21.6,21.6,21.6,21.4809
